"","ISO","year","best","armconf1"
"1198","FRA",2017,2,1
"1199","FRA",2018,2,1
"1200","FRA",2019,NA,NA
"1201","GAB",2000,NA,NA
"1202","GAB",2001,NA,NA
"1203","GAB",2002,NA,NA
"1204","GAB",2003,NA,NA
"1205","GAB",2004,NA,NA
"1206","GAB",2005,NA,NA
"1207","GAB",2006,NA,NA
"1208","GAB",2007,NA,NA
"1209","GAB",2008,NA,NA
"1210","GAB",2009,NA,NA
"1211","GAB",2010,NA,NA
"1212","GAB",2011,NA,NA
"1213","GAB",2012,NA,NA
"1214","GAB",2013,NA,NA
"1215","GAB",2014,NA,NA
"1216","GAB",2015,NA,NA
"1217","GAB",2016,NA,NA
"1218","GAB",2017,NA,NA
"1219","GAB",2018,NA,NA
"1220","GAB",2019,NA,NA
"1221","GEO",2000,NA,NA
"1222","GEO",2001,NA,NA
"1223","GEO",2002,0,0
"1224","GEO",2003,NA,NA
"1225","GEO",2004,0,0
"1226","GEO",2005,NA,NA
"1227","GEO",2006,NA,NA
"1228","GEO",2007,NA,NA
"1229","GEO",2008,0,0
"1230","GEO",2009,NA,NA
"1231","GEO",2010,3,1
"1232","GEO",2011,0,0
"1233","GEO",2012,NA,NA
"1234","GEO",2013,NA,NA
"1235","GEO",2014,NA,NA
"1236","GEO",2015,NA,NA
"1237","GEO",2016,NA,NA
"1238","GEO",2017,NA,NA
"1239","GEO",2018,NA,NA
"1240","GEO",2019,NA,NA
"1241","DEU",2000,NA,NA
"1242","DEU",2001,NA,NA
"1243","DEU",2002,NA,NA
"1244","DEU",2003,NA,NA
"1245","DEU",2004,NA,NA
"1246","DEU",2005,NA,NA
"1247","DEU",2006,NA,NA
"1248","DEU",2007,NA,NA
"1249","DEU",2008,NA,NA
"1250","DEU",2009,NA,NA
"1251","DEU",2010,NA,NA
"1252","DEU",2011,NA,NA
"1253","DEU",2012,NA,NA
"1254","DEU",2013,NA,NA
"1255","DEU",2014,NA,NA
"1256","DEU",2015,NA,NA
"1257","DEU",2016,12,1
"1258","DEU",2017,NA,NA
"1259","DEU",2018,NA,NA
"1260","DEU",2019,NA,NA
"1261","GHA",2000,30,1
"1262","GHA",2001,50,1
"1263","GHA",2002,36,1
"1264","GHA",2003,NA,NA
"1265","GHA",2004,NA,NA
"1266","GHA",2005,NA,NA
"1267","GHA",2006,NA,NA
"1268","GHA",2007,NA,NA
"1269","GHA",2008,5,1
"1270","GHA",2009,5,1
"1271","GHA",2010,1,1
"1272","GHA",2011,NA,NA
"1273","GHA",2012,NA,NA
"1274","GHA",2013,NA,NA
"1275","GHA",2014,NA,NA
"1276","GHA",2015,NA,NA
"1277","GHA",2016,NA,NA
"1278","GHA",2017,NA,NA
"1279","GHA",2018,NA,NA
"1280","GHA",2019,NA,NA
"1281","GRC",2000,NA,NA
"1282","GRC",2001,NA,NA
"1283","GRC",2002,NA,NA
"1284","GRC",2003,NA,NA
"1285","GRC",2004,NA,NA
"1286","GRC",2005,NA,NA
"1287","GRC",2006,NA,NA
"1288","GRC",2007,NA,NA
"1289","GRC",2008,NA,NA
"1290","GRC",2009,NA,NA
"1291","GRC",2010,NA,NA
"1292","GRC",2011,NA,NA
"1293","GRC",2012,NA,NA
"1294","GRC",2013,NA,NA
"1295","GRC",2014,NA,NA
"1296","GRC",2015,NA,NA
"1297","GRC",2016,NA,NA
"1298","GRC",2017,NA,NA
"1299","GRC",2018,NA,NA
"1300","GRC",2019,NA,NA
"1301","GRD",2000,NA,NA
"1302","GRD",2001,NA,NA
"1303","GRD",2002,NA,NA
"1304","GRD",2003,NA,NA
"1305","GRD",2004,NA,NA
"1306","GRD",2005,NA,NA
"1307","GRD",2006,NA,NA
"1308","GRD",2007,NA,NA
"1309","GRD",2008,NA,NA
"1310","GRD",2009,NA,NA
"1311","GRD",2010,NA,NA
"1312","GRD",2011,NA,NA
"1313","GRD",2012,NA,NA
"1314","GRD",2013,NA,NA
"1315","GRD",2014,NA,NA
"1316","GRD",2015,NA,NA
"1317","GRD",2016,NA,NA
"1318","GRD",2017,NA,NA
"1319","GRD",2018,NA,NA
"1320","GRD",2019,NA,NA
"1321","GTM",2000,NA,NA
"1322","GTM",2001,5,1
"1323","GTM",2002,2,1
"1324","GTM",2003,NA,NA
"1325","GTM",2004,0,0
"1326","GTM",2005,2,1
"1327","GTM",2006,NA,NA
"1328","GTM",2007,5,1
"1329","GTM",2008,7,1
"1330","GTM",2009,1,1
"1331","GTM",2010,NA,NA
"1332","GTM",2011,0,0
"1333","GTM",2012,NA,NA
"1334","GTM",2013,NA,NA
"1335","GTM",2014,NA,NA
"1336","GTM",2015,1,1
"1337","GTM",2016,NA,NA
"1338","GTM",2017,NA,NA
"1339","GTM",2018,NA,NA
"1340","GTM",2019,NA,NA
"1341","GIN",2000,2,1
"1342","GIN",2001,85,1
"1343","GIN",2002,NA,NA
"1344","GIN",2003,NA,NA
"1345","GIN",2004,NA,NA
"1346","GIN",2005,3,1
"1347","GIN",2006,1,1
"1348","GIN",2007,1,1
"1349","GIN",2008,NA,NA
"1350","GIN",2009,157,1
"1351","GIN",2010,1,1
"1352","GIN",2011,25,1
"1353","GIN",2012,1,1
"1354","GIN",2013,2,1
