"","Year","ISO","drought","earthquake"
"580",2019,"IDN",0,1
"581",2019,"IRN",0,1
"582",2019,"JPN",0,1
"583",2019,"KEN",1,0
"584",2019,"LAO",1,0
"585",2019,"LKA",1,0
"586",2019,"LSO",1,0
"587",2019,"PAK",1,1
"588",2019,"PER",0,1
"589",2019,"PHL",1,1
"590",2019,"PNG",0,1
"591",2019,"PRK",1,0
"592",2019,"SLV",0,1
"593",2019,"SOM",1,0
"594",2019,"SWZ",1,0
"595",2019,"THA",1,0
"596",2019,"TUR",0,1
"597",2019,"USA",0,1
"598",2019,"VNM",1,0
"599",2019,"ZAF",1,0
"600",2019,"ZMB",1,0
